population_count,random_select,num_generations,min fitness,avg fitness
10000,0.0,23,0.0,6587856491.7860365
10000,0.01,22,0.0,8838277643.480087
10000,0.02,28,0.0,7783406856.454826
10000,0.03,27,0.0,8384628596.71441
10000,0.04,26,0.0,8211623007.5836315
10000,0.05,25,0.0,9257578733.43612
10000,0.06,33,0.0,10031866119.241972
10000,0.07,31,0.0,8263631205.817392
10000,0.08,32,0.0,10624138103.788431
10000,0.09,34,0.0,10616608569.258076
10000,0.1,32,0.0,10888160061.795332
10000,0.11,30,0.0,11314250771.56447
10000,0.12,30,0.0,10413407512.731234
10000,0.13,30,0.0,11729538199.991682
10000,0.14,32,0.0,13461134228.077156
10000,0.15,33,0.0,11631644069.140558
10000,0.16,27,0.0,14466244485.599207
10000,0.17,32,0.0,14613549064.228613
10000,0.18,33,0.0,17197885315.378246
10000,0.19,41,0.0,15719826180.52706
10000,0.2,51,0.0,14962713353.881598
10000,0.21,38,0.0,17631910659.280174
10000,0.22,36,0.0,16992967076.728745
10000,0.23,46,0.0,17716739216.0591
10000,0.24,49,0.0,17467288582.1598
10000,0.25,36,0.0,20034038603.306305
10000,0.26,43,0.0,18952844033.126835
10000,0.27,52,0.0,20841087134.66109
10000,0.28,48,0.0,20067740557.744392
10000,0.29,57,0.0,22529747052.52884
10000,0.3,44,0.0,21250583927.059498
10000,0.31,58,0.0,22264587882.01204
10000,0.32,64,0.0,23883385325.559753
10000,0.33,61,0.0,22237055462.268093
10000,0.34,58,0.0,23873156614.0637
10000,0.35,64,0.0,24473206633.003426
10000,0.36,65,0.0,25814348701.4643
10000,0.37,51,0.0,27397379873.580795
10000,0.38,75,0.0,24931713305.45113
10000,0.39,60,0.0,26025452812.18655
10000,0.4,65,0.0,28176173134.44245
10000,0.41,77,0.0,28801692134.57086
10000,0.42,77,0.0,31081942464.74433
10000,0.43,89,0.0,28876576386.9666
10000,0.44,108,0.0,29889377628.443962
10000,0.45,87,0.0,29591988188.598587
10000,0.46,130,0.0,30061791781.153236
10000,0.47,97,0.0,35436452435.33564
10000,0.48,130,0.0,34176812850.9329
10000,0.49,163,0.0,33866183327.10868
10000,0.5,143,0.0,35383675520.649
10000,0.51,137,0.0,37335145094.880066
10000,0.52,120,0.0,34603374197.80097
10000,0.53,165,0.0,37741472724.15958
10000,0.54,613,0.0,38660015572.73202
10000,0.55,404,0.0,39355382488.12792
10000,0.56,194,0.0,40604416688.14977
10000,0.57,181,0.0,39376715218.37271
10000,0.58,250,0.0,42221802333.77835
10000,0.59,188,0.0,43714758322.48758
10000,0.6,3146,0.0,40699534640.06653
10000,0.61,2250,0.0,43664691776.04308
10000,0.62,6515,0.0,43665309157.299065
10000,0.63,501,0.0,43880812116.36914
10000,0.64,8748,0.0,46058611462.65185
10000,0.65,9368,0.0,47175967365.33205
